ontology_id	human_readable_value	submitted_diagnosis	diagnosis_group
MONDO:0006639	Adrenal cortex carcinoma	Adrenocortical carcinoma	Adrenal cortex carcinoma
MONDO:0016684	Anaplastic astrocytoma	Anaplastic astrocytoma	Brain and CNS
MONDO:0016700	Anaplastic ependymoma	Anaplastic ependymoma	Brain and CNS
MONDO:0016734	Anaplastic ganglioglioma	Anaplastic ganglioglioma	Brain and CNS
MONDO:0021640	Grade III glioma	Anaplastic glioma	Brain and CNS
MONDO:0020560	Atypical teratoid rhabdoid tumor	Atypical teratoid rhabdoid tumor	Brain and CNS
MONDO:0022965	Desmoplastic infantile ganglioglioma	Desmoplastic ganglioglioma	Brain and CNS
MONDO:0005499	Brain glioma	Diffuse midline glioma	Brain and CNS
MONDO:0005505	Dysembryoplastic neuroepithelial tumor	Dysembryoplastic neuroepithelial tumor	Brain and CNS
MONDO:0019002	Lhermitte-Duclos disease	Dysplastic gangliocytoma	Brain and CNS
MONDO:0016698	Ependymoma	Ependymoma	Brain and CNS
MONDO:0019009	Isolated focal cortical dysplasia	Focal cortical dysplasia	Brain and CNS
MONDO:0016733	Ganglioglioma	Ganglioglioma	Brain and CNS
MONDO:0021193	Neuroepithelial neoplasm	Ganglioglioma/ATRT	Brain and CNS
MONDO:0016729	Mixed neuronal-glial tumor	Glial-neuronal tumor	Brain and CNS
MONDO:0018177	Glioblastoma	Glioblastoma	Brain and CNS
MONDO:0100342	Malignant glioma	High-grade glioma	Brain and CNS
MONDO:0858940	Infant-type hemispheric glioma	Infant-type hemispheric glioma	Brain and CNS
MONDO:0021637	Low grade glioma	Low-grade glioma	Brain and CNS
MONDO:0007959	Medulloblastoma	Medulloblastoma	Brain and CNS
MONDO:0016699	Myxopapillary ependymoma	Myxopapillary ependymoma	Brain and CNS
MONDO:0016691	Pilocytic astrocyoma	Pilocytic astrocytoma	Brain and CNS
MONDO:0016692	Pilomyxoid astrocytoma	Pilomyxoid astrocytoma	Brain and CNS
MONDO:0016690	Pleomorphic xanthoastrocytoma	Pleomorphic xanthoastrocytoma	Brain and CNS
MONDO:0000640	Central nervous system primitive neuroectodermal neoplasm	Primitive neuroectodermal tumor	Brain and CNS
MONDO:0008380	Retinoblastoma	Retinoblastoma	Brain and CNS
MONDO:0002546	Schwannoma	Schwannoma	Brain and CNS
MONDO:0007667	Subependymoma	Subependymoma	Brain and CNS
MONDO:0011719	Gastrointestinal stromal tumor	Gastrointestinal stromal tumor	Gastrointestinal stromal tumor
MONDO:0005040	Germ cell tumor	Germ cell tumor	Germ cell tumor
MONDO:0018666	Hepatoblastoma	Hepatoblastoma	Hepatoblastoma
MONDO:0005105	Melanoma	Melanoma	Melanoma
MONDO:0005072	Neuroblastoma	Neuroblastoma	Neuroblastoma
MONDO:0002728	Rhabdoid tumor	Rhabdoid tumor	Rhabdoid tumor
MONDO:0002926	Clear cell sarcoma	Clear cell sarcoma	Sarcoma
MONDO:0005006	Clear cell sarcoma of the kidney	Clear cell sarcoma of the kidney	Sarcoma
MONDO:0019373	Desmoplastic small round cell tumor	Desmoplastic small round cell tumor	Sarcoma
MONDO:0015795	Undifferentiated embryonal sarcoma of the liver	Embryonal sarcoma	Sarcoma
MONDO:0017387	Epithelioid sarcoma	Epithelioid sarcoma	Sarcoma
MONDO:0012817	Ewing sarcoma	Ewing sarcoma	Sarcoma
MONDO:0005089	sarcoma	High-grade sarcoma	Sarcoma
MONDO:0004557	Congenital fibrosarcoma	Infantile fibrosarcoma	Sarcoma
MONDO:0009807	Osteosarcoma	Osteosarcoma	Sarcoma
MONDO:0005212	Rhabdomyosarcoma	Rhabdomyosarcoma	Sarcoma
MONDO:0002927	Spindle cell sarcoma	Spindle sarcoma	Sarcoma
MONDO:0010434	Synovial sarcoma	Synovial sarcoma	Sarcoma
MONDO:0020661	Undifferentiated round cell sarcoma	Undifferentiated round cell sarcoma	Sarcoma
MONDO:0006058	Wilms tumor	Wilms tumor	Wilms tumor
MONDO:0018874	Acute myeloid leukemia	Acute myeloid leukemia	Acute myeloid leukemia
MONDO:0004947	B-cell acute lymphoblastic leukemia	B-cell acute lymphoblastic leukemia	B-cell leukemia
MONDO:0020743	Mixed phenotype acute leukemia	Mixed phenotype acute leukemia	Mixed phenotype acute leukemia
MONDO:0020743	Mixed phenotype acute leukemia	T-myeloid mixed phenotype acute leukemia	Mixed phenotype acute leukemia
MONDO:0100291	Early T-cell progenitor acute lymphoblastic leukemia	Early T-cell precursor T-cell acute lymphoblastic leukemia	T-cell leukemia
MONDO:0004963	T-cell acute lymphoblastic leukemia	Non-early T-cell precursor T-cell acute lymphoblastic leukemia	T-cell leukemia
MONDO:0004963	T-cell acute lymphoblastic leukemia	T-cell acute lymphoblastic leukemia	T-cell leukemia
